Neighborhood,Crime,Number of Cases,Date
Kenny,Burglary,1.0,2018-01-01
Kenny,Homicide,0.0,2018-01-01
Kenny,Larceny,2.0,2018-01-01
Kenny,Rape,0.0,2018-01-01
Kenny,Robbery,0.0,2018-01-01
Kenwood,Aggravated Assault,0.0,2018-01-01
Kenwood,Arson,0.0,2018-01-01
Kenwood,Auto Theft,0.0,2018-01-01
Kenwood,Burglary,0.0,2018-01-01
Kenwood,Homicide,0.0,2018-01-01
Kenwood,Larceny,0.0,2018-01-01
Kenwood,Rape,0.0,2018-01-01
Kenwood,Robbery,0.0,2018-01-01
King Field,Aggravated Assault,0.0,2018-01-01
King Field,Arson,0.0,2018-01-01
King Field,Auto Theft,1.0,2018-01-01
King Field,Burglary,2.0,2018-01-01
King Field,Homicide,0.0,2018-01-01
King Field,Larceny,10.0,2018-01-01
King Field,Rape,0.0,2018-01-01
King Field,Robbery,1.0,2018-01-01
Lind - Bohanon,Aggravated Assault,4.0,2018-01-01
Lind - Bohanon,Arson,0.0,2018-01-01
Lind - Bohanon,Auto Theft,9.0,2018-01-01
Lind - Bohanon,Burglary,1.0,2018-01-01
Lind - Bohanon,Homicide,0.0,2018-01-01
Lind - Bohanon,Larceny,7.0,2018-01-01
Lind - Bohanon,Rape,1.0,2018-01-01
Lind - Bohanon,Robbery,0.0,2018-01-01
Linden Hills,Aggravated Assault,0.0,2018-01-01
Linden Hills,Arson,0.0,2018-01-01
Linden Hills,Auto Theft,0.0,2018-01-01
Linden Hills,Burglary,5.0,2018-01-01
Linden Hills,Homicide,0.0,2018-01-01
Linden Hills,Larceny,6.0,2018-01-01
Linden Hills,Rape,0.0,2018-01-01
Linden Hills,Robbery,0.0,2018-01-01
Logan Park,Aggravated Assault,0.0,2018-01-01
Logan Park,Arson,0.0,2018-01-01
Logan Park,Auto Theft,1.0,2018-01-01
Logan Park,Burglary,3.0,2018-01-01
Logan Park,Homicide,0.0,2018-01-01
Logan Park,Larceny,2.0,2018-01-01
Logan Park,Rape,0.0,2018-01-01
Logan Park,Robbery,0.0,2018-01-01
Longfellow,Aggravated Assault,0.0,2018-01-01
Longfellow,Arson,0.0,2018-01-01
Longfellow,Auto Theft,4.0,2018-01-01
