Date,Neighborhood,Crime,Number of Cases
12/2021,Midtown Phillips,Auto Theft,10.0
12/2021,Midtown Phillips,Burglary,5.0
12/2021,Midtown Phillips,Homicide,0.0
12/2021,Midtown Phillips,Larceny,12.0
12/2021,Midtown Phillips,Rape,1.0
12/2021,Midtown Phillips,Robbery,10.0
12/2021,Minnehaha,Aggravated Assault,0.0
12/2021,Minnehaha,Arson,1.0
12/2021,Minnehaha,Auto Theft,0.0
12/2021,Minnehaha,Burglary,0.0
12/2021,Minnehaha,Homicide,0.0
12/2021,Minnehaha,Larceny,7.0
12/2021,Minnehaha,Rape,0.0
12/2021,Minnehaha,Robbery,1.0
12/2021,Morris Park,Aggravated Assault,0.0
12/2021,Morris Park,Arson,0.0
12/2021,Morris Park,Auto Theft,0.0
12/2021,Morris Park,Burglary,0.0
12/2021,Morris Park,Homicide,0.0
12/2021,Morris Park,Larceny,4.0
12/2021,Morris Park,Rape,0.0
12/2021,Morris Park,Robbery,1.0
12/2021,Near - North,Aggravated Assault,3.0
12/2021,Near - North,Arson,0.0
12/2021,Near - North,Auto Theft,7.0
12/2021,Near - North,Burglary,3.0
12/2021,Near - North,Homicide,0.0
12/2021,Near - North,Larceny,19.0
12/2021,Near - North,Rape,0.0
12/2021,Near - North,Robbery,2.0
12/2021,Nicollet Island - East Bank,Aggravated Assault,1.0
12/2021,Nicollet Island - East Bank,Arson,0.0
12/2021,Nicollet Island - East Bank,Auto Theft,2.0
12/2021,Nicollet Island - East Bank,Burglary,0.0
12/2021,Nicollet Island - East Bank,Homicide,0.0
12/2021,Nicollet Island - East Bank,Larceny,6.0
12/2021,Nicollet Island - East Bank,Rape,0.0
12/2021,Nicollet Island - East Bank,Robbery,1.0
12/2021,North Loop,Aggravated Assault,3.0
12/2021,North Loop,Arson,0.0
12/2021,North Loop,Auto Theft,9.0
12/2021,North Loop,Burglary,4.0
12/2021,North Loop,Homicide,0.0
12/2021,North Loop,Larceny,32.0
12/2021,North Loop,Rape,0.0
12/2021,North Loop,Robbery,2.0
12/2021,Northeast Park,Aggravated Assault,0.0
12/2021,Northeast Park,Arson,0.0
12/2021,Northeast Park,Auto Theft,1.0
12/2021,Northeast Park,Burglary,2.0
12/2021,Northeast Park,Homicide,0.0
12/2021,Northeast Park,Larceny,16.0
12/2021,Northeast Park,Rape,0.0
12/2021,Northeast Park,Robbery,2.0
12/2021,Northrop,Aggravated Assault,0.0
12/2021,Northrop,Arson,0.0
12/2021,Northrop,Auto Theft,2.0
12/2021,Northrop,Burglary,4.0
12/2021,Northrop,Homicide,0.0
12/2021,Northrop,Larceny,5.0
12/2021,Northrop,Rape,0.0
12/2021,Northrop,Robbery,3.0
12/2021,Page,Aggravated Assault,0.0
12/2021,Page,Arson,0.0
12/2021,Page,Auto Theft,1.0
12/2021,Page,Burglary,2.0
12/2021,Page,Homicide,0.0
12/2021,Page,Larceny,1.0
12/2021,Page,Rape,0.0
12/2021,Page,Robbery,1.0
12/2021,Phillips West,Aggravated Assault,0.0
12/2021,Phillips West,Arson,0.0
12/2021,Phillips West,Auto Theft,8.0
12/2021,Phillips West,Burglary,1.0
12/2021,Phillips West,Homicide,0.0
12/2021,Phillips West,Larceny,11.0
12/2021,Phillips West,Rape,0.0
12/2021,Phillips West,Robbery,4.0
12/2021,Powderhorn Park,Aggravated Assault,5.0
12/2021,Powderhorn Park,Arson,0.0
12/2021,Powderhorn Park,Auto Theft,19.0
12/2021,Powderhorn Park,Burglary,6.0
12/2021,Powderhorn Park,Homicide,0.0
12/2021,Powderhorn Park,Larceny,13.0
12/2021,Powderhorn Park,Rape,0.0
12/2021,Powderhorn Park,Robbery,13.0
12/2021,Prospect Park - East River Road,Aggravated Assault,1.0
12/2021,Prospect Park - East River Road,Arson,0.0
12/2021,Prospect Park - East River Road,Auto Theft,8.0
12/2021,Prospect Park - East River Road,Burglary,8.0
12/2021,Prospect Park - East River Road,Homicide,0.0
12/2021,Prospect Park - East River Road,Larceny,20.0
12/2021,Prospect Park - East River Road,Rape,0.0
12/2021,Prospect Park - East River Road,Robbery,2.0
12/2021,Regina,Aggravated Assault,0.0
12/2021,Regina,Arson,0.0
12/2021,Regina,Auto Theft,0.0
12/2021,Regina,Burglary,0.0
12/2021,Regina,Homicide,0.0
12/2021,Regina,Larceny,1.0
12/2021,Regina,Rape,0.0
12/2021,Regina,Robbery,2.0
12/2021,Seward,Aggravated Assault,3.0
12/2021,Seward,Arson,1.0
12/2021,Seward,Auto Theft,13.0
12/2021,Seward,Burglary,3.0
12/2021,Seward,Homicide,0.0
12/2021,Seward,Larceny,17.0
12/2021,Seward,Rape,0.0
12/2021,Seward,Robbery,7.0
12/2021,Sheridan,Aggravated Assault,0.0
12/2021,Sheridan,Arson,0.0
12/2021,Sheridan,Auto Theft,1.0
12/2021,Sheridan,Burglary,1.0
12/2021,Sheridan,Homicide,0.0
12/2021,Sheridan,Larceny,9.0
12/2021,Sheridan,Rape,0.0
12/2021,Sheridan,Robbery,2.0
12/2021,Shingle Creek,Aggravated Assault,3.0
12/2021,Shingle Creek,Arson,0.0
12/2021,Shingle Creek,Auto Theft,0.0
12/2021,Shingle Creek,Burglary,0.0
