Date,Neighborhood,Crime,Number of Cases
5/2018,Northrop,Robbery,0.0
5/2018,Page,Aggravated Assault,0.0
5/2018,Page,Arson,0.0
5/2018,Page,Auto Theft,1.0
5/2018,Page,Burglary,1.0
5/2018,Page,Homicide,0.0
5/2018,Page,Larceny,1.0
5/2018,Page,Rape,0.0
5/2018,Page,Robbery,0.0
5/2018,Phillips West,Aggravated Assault,0.0
5/2018,Phillips West,Arson,0.0
5/2018,Phillips West,Auto Theft,3.0
5/2018,Phillips West,Burglary,0.0
5/2018,Phillips West,Homicide,0.0
5/2018,Phillips West,Larceny,12.0
5/2018,Phillips West,Rape,2.0
5/2018,Phillips West,Robbery,2.0
5/2018,Powderhorn Park,Aggravated Assault,7.0
5/2018,Powderhorn Park,Arson,0.0
5/2018,Powderhorn Park,Auto Theft,6.0
5/2018,Powderhorn Park,Burglary,8.0
5/2018,Powderhorn Park,Homicide,0.0
5/2018,Powderhorn Park,Larceny,19.0
5/2018,Powderhorn Park,Rape,2.0
5/2018,Powderhorn Park,Robbery,2.0
5/2018,Prospect Park - East River Road,Aggravated Assault,2.0
5/2018,Prospect Park - East River Road,Arson,0.0
5/2018,Prospect Park - East River Road,Auto Theft,2.0
5/2018,Prospect Park - East River Road,Burglary,3.0
5/2018,Prospect Park - East River Road,Homicide,0.0
5/2018,Prospect Park - East River Road,Larceny,25.0
5/2018,Prospect Park - East River Road,Rape,0.0
5/2018,Prospect Park - East River Road,Robbery,0.0
5/2018,Regina,Aggravated Assault,2.0
5/2018,Regina,Arson,0.0
5/2018,Regina,Auto Theft,2.0
5/2018,Regina,Burglary,4.0
5/2018,Regina,Homicide,0.0
5/2018,Regina,Larceny,1.0
5/2018,Regina,Rape,0.0
5/2018,Regina,Robbery,0.0
5/2018,Seward,Aggravated Assault,2.0
5/2018,Seward,Arson,0.0
5/2018,Seward,Auto Theft,4.0
5/2018,Seward,Burglary,9.0
5/2018,Seward,Homicide,0.0
5/2018,Seward,Larceny,17.0
5/2018,Seward,Rape,0.0
5/2018,Seward,Robbery,0.0
5/2018,Sheridan,Aggravated Assault,2.0
5/2018,Sheridan,Arson,0.0
5/2018,Sheridan,Auto Theft,0.0
5/2018,Sheridan,Burglary,2.0
5/2018,Sheridan,Homicide,0.0
5/2018,Sheridan,Larceny,5.0
5/2018,Sheridan,Rape,1.0
5/2018,Sheridan,Robbery,0.0
5/2018,Shingle Creek,Aggravated Assault,1.0
5/2018,Shingle Creek,Arson,0.0
5/2018,Shingle Creek,Auto Theft,0.0
5/2018,Shingle Creek,Burglary,1.0
5/2018,Shingle Creek,Homicide,0.0
5/2018,Shingle Creek,Larceny,2.0
5/2018,Shingle Creek,Rape,0.0
5/2018,Shingle Creek,Robbery,0.0
5/2018,St. Anthony East,Aggravated Assault,0.0
5/2018,St. Anthony East,Arson,0.0
5/2018,St. Anthony East,Auto Theft,0.0
5/2018,St. Anthony East,Burglary,3.0
5/2018,St. Anthony East,Homicide,0.0
5/2018,St. Anthony East,Larceny,5.0
5/2018,St. Anthony East,Rape,0.0
5/2018,St. Anthony East,Robbery,0.0
5/2018,St. Anthony West,Aggravated Assault,1.0
5/2018,St. Anthony West,Arson,0.0
5/2018,St. Anthony West,Auto Theft,1.0
5/2018,St. Anthony West,Burglary,0.0
5/2018,St. Anthony West,Homicide,0.0
5/2018,St. Anthony West,Larceny,4.0
5/2018,St. Anthony West,Rape,0.0
5/2018,St. Anthony West,Robbery,0.0
5/2018,Standish,Aggravated Assault,2.0
5/2018,Standish,Arson,0.0
5/2018,Standish,Auto Theft,2.0
5/2018,Standish,Burglary,12.0
5/2018,Standish,Homicide,0.0
5/2018,Standish,Larceny,10.0
5/2018,Standish,Rape,0.0
5/2018,Standish,Robbery,1.0
5/2018,Steven's Square - Loring Heights,Aggravated Assault,1.0
5/2018,Steven's Square - Loring Heights,Arson,0.0
5/2018,Steven's Square - Loring Heights,Auto Theft,3.0
5/2018,Steven's Square - Loring Heights,Burglary,2.0
5/2018,Steven's Square - Loring Heights,Homicide,0.0
5/2018,Steven's Square - Loring Heights,Larceny,13.0
5/2018,Steven's Square - Loring Heights,Rape,1.0
5/2018,Steven's Square - Loring Heights,Robbery,1.0
5/2018,Sumner - Glenwood,Aggravated Assault,3.0
5/2018,Sumner - Glenwood,Arson,0.0
5/2018,Sumner - Glenwood,Auto Theft,1.0
5/2018,Sumner - Glenwood,Burglary,1.0
5/2018,Sumner - Glenwood,Homicide,0.0
5/2018,Sumner - Glenwood,Larceny,3.0
5/2018,Sumner - Glenwood,Rape,0.0
5/2018,Sumner - Glenwood,Robbery,0.0
5/2018,Tangletown,Aggravated Assault,0.0
5/2018,Tangletown,Arson,0.0
5/2018,Tangletown,Auto Theft,0.0
5/2018,Tangletown,Burglary,1.0
5/2018,Tangletown,Homicide,0.0
5/2018,Tangletown,Larceny,9.0
5/2018,Tangletown,Rape,1.0
5/2018,Tangletown,Robbery,1.0
5/2018,University of Minnesota,Aggravated Assault,0.0
5/2018,University of Minnesota,Arson,0.0
5/2018,University of Minnesota,Auto Theft,0.0
5/2018,University of Minnesota,Burglary,1.0
5/2018,University of Minnesota,Homicide,0.0
5/2018,University of Minnesota,Larceny,6.0
5/2018,University of Minnesota,Rape,0.0
5/2018,University of Minnesota,Robbery,0.0
5/2018,Ventura Village,Aggravated Assault,1.0
5/2018,Ventura Village,Arson,0.0
5/2018,Ventura Village,Auto Theft,3.0
5/2018,Ventura Village,Burglary,3.0
5/2018,Ventura Village,Homicide,0.0
5/2018,Ventura Village,Larceny,19.0
5/2018,Ventura Village,Rape,3.0
5/2018,Ventura Village,Robbery,4.0
5/2018,Victory,Aggravated Assault,1.0
5/2018,Victory,Arson,0.0
5/2018,Victory,Auto Theft,4.0
5/2018,Victory,Burglary,3.0
5/2018,Victory,Homicide,0.0
5/2018,Victory,Larceny,2.0
5/2018,Victory,Rape,0.0
5/2018,Victory,Robbery,0.0
5/2018,Waite Park,Aggravated Assault,0.0
5/2018,Waite Park,Arson,0.0
5/2018,Waite Park,Auto Theft,2.0
5/2018,Waite Park,Burglary,2.0
5/2018,Waite Park,Homicide,0.0
5/2018,Waite Park,Larceny,3.0
5/2018,Waite Park,Rape,0.0
5/2018,Waite Park,Robbery,0.0
5/2018,Webber - Camden,Aggravated Assault,3.0
5/2018,Webber - Camden,Arson,0.0
5/2018,Webber - Camden,Auto Theft,3.0
5/2018,Webber - Camden,Burglary,5.0
5/2018,Webber - Camden,Homicide,0.0
5/2018,Webber - Camden,Larceny,8.0
5/2018,Webber - Camden,Rape,1.0
5/2018,Webber - Camden,Robbery,0.0
5/2018,Wenonah,Aggravated Assault,0.0
5/2018,Wenonah,Arson,0.0
5/2018,Wenonah,Auto Theft,2.0
5/2018,Wenonah,Burglary,4.0
5/2018,Wenonah,Homicide,0.0
5/2018,Wenonah,Larceny,1.0
