Date,Neighborhood,Crime,Number of Cases
4/2020,Longfellow,Homicide,0.0
4/2020,Longfellow,Larceny,35.0
4/2020,Longfellow,Rape,2.0
4/2020,Longfellow,Robbery,4.0
4/2020,Loring Park,Aggravated Assault,5.0
4/2020,Loring Park,Arson,0.0
4/2020,Loring Park,Auto Theft,3.0
4/2020,Loring Park,Burglary,8.0
4/2020,Loring Park,Homicide,0.0
4/2020,Loring Park,Larceny,29.0
4/2020,Loring Park,Rape,1.0
4/2020,Loring Park,Robbery,6.0
4/2020,Lowry Hill,Aggravated Assault,0.0
4/2020,Lowry Hill,Arson,0.0
4/2020,Lowry Hill,Auto Theft,0.0
4/2020,Lowry Hill,Burglary,5.0
4/2020,Lowry Hill,Homicide,0.0
4/2020,Lowry Hill,Larceny,4.0
4/2020,Lowry Hill,Rape,0.0
4/2020,Lowry Hill,Robbery,0.0
4/2020,Lowry Hill East,Aggravated Assault,3.0
4/2020,Lowry Hill East,Arson,0.0
4/2020,Lowry Hill East,Auto Theft,8.0
4/2020,Lowry Hill East,Burglary,14.0
4/2020,Lowry Hill East,Homicide,0.0
4/2020,Lowry Hill East,Larceny,21.0
4/2020,Lowry Hill East,Rape,0.0
4/2020,Lowry Hill East,Robbery,2.0
4/2020,Lyndale,Aggravated Assault,2.0
4/2020,Lyndale,Arson,0.0
4/2020,Lyndale,Auto Theft,2.0
4/2020,Lyndale,Burglary,6.0
4/2020,Lyndale,Homicide,0.0
4/2020,Lyndale,Larceny,13.0
4/2020,Lyndale,Rape,0.0
4/2020,Lyndale,Robbery,3.0
4/2020,Lynnhurst,Aggravated Assault,0.0
4/2020,Lynnhurst,Arson,0.0
4/2020,Lynnhurst,Auto Theft,2.0
4/2020,Lynnhurst,Burglary,1.0
4/2020,Lynnhurst,Homicide,0.0
4/2020,Lynnhurst,Larceny,6.0
4/2020,Lynnhurst,Rape,0.0
4/2020,Lynnhurst,Robbery,0.0
4/2020,Marcy Holmes,Aggravated Assault,1.0
4/2020,Marcy Holmes,Arson,0.0
4/2020,Marcy Holmes,Auto Theft,13.0
4/2020,Marcy Holmes,Burglary,11.0
4/2020,Marcy Holmes,Homicide,0.0
4/2020,Marcy Holmes,Larceny,44.0
4/2020,Marcy Holmes,Rape,1.0
4/2020,Marcy Holmes,Robbery,1.0
4/2020,Marshall Terrace,Aggravated Assault,0.0
4/2020,Marshall Terrace,Arson,0.0
4/2020,Marshall Terrace,Auto Theft,2.0
4/2020,Marshall Terrace,Burglary,0.0
4/2020,Marshall Terrace,Homicide,0.0
4/2020,Marshall Terrace,Larceny,3.0
4/2020,Marshall Terrace,Rape,0.0
4/2020,Marshall Terrace,Robbery,0.0
4/2020,McKinley,Aggravated Assault,5.0
4/2020,McKinley,Arson,0.0
4/2020,McKinley,Auto Theft,4.0
4/2020,McKinley,Burglary,1.0
4/2020,McKinley,Homicide,0.0
4/2020,McKinley,Larceny,4.0
4/2020,McKinley,Rape,0.0
4/2020,McKinley,Robbery,1.0
4/2020,Mid - City Industrial,Aggravated Assault,0.0
4/2020,Mid - City Industrial,Arson,0.0
4/2020,Mid - City Industrial,Auto Theft,1.0
4/2020,Mid - City Industrial,Burglary,0.0
4/2020,Mid - City Industrial,Homicide,0.0
4/2020,Mid - City Industrial,Larceny,9.0
4/2020,Mid - City Industrial,Rape,0.0
4/2020,Mid - City Industrial,Robbery,0.0
4/2020,Midtown Phillips,Aggravated Assault,2.0
4/2020,Midtown Phillips,Arson,0.0
4/2020,Midtown Phillips,Auto Theft,4.0
4/2020,Midtown Phillips,Burglary,8.0
4/2020,Midtown Phillips,Homicide,0.0
4/2020,Midtown Phillips,Larceny,15.0
4/2020,Midtown Phillips,Rape,2.0
4/2020,Midtown Phillips,Robbery,2.0
4/2020,Minnehaha,Aggravated Assault,0.0
4/2020,Minnehaha,Arson,0.0
4/2020,Minnehaha,Auto Theft,3.0
4/2020,Minnehaha,Burglary,1.0
4/2020,Minnehaha,Homicide,0.0
4/2020,Minnehaha,Larceny,12.0
4/2020,Minnehaha,Rape,0.0
4/2020,Minnehaha,Robbery,0.0
4/2020,Morris Park,Aggravated Assault,0.0
4/2020,Morris Park,Arson,0.0
4/2020,Morris Park,Auto Theft,0.0
4/2020,Morris Park,Burglary,1.0
4/2020,Morris Park,Homicide,0.0
4/2020,Morris Park,Larceny,2.0
4/2020,Morris Park,Rape,0.0
4/2020,Morris Park,Robbery,0.0
4/2020,Near - North,Aggravated Assault,1.0
4/2020,Near - North,Arson,1.0
4/2020,Near - North,Auto Theft,8.0
4/2020,Near - North,Burglary,2.0
4/2020,Near - North,Homicide,1.0
4/2020,Near - North,Larceny,29.0
4/2020,Near - North,Rape,0.0
4/2020,Near - North,Robbery,4.0
4/2020,Nicollet Island - East Bank,Aggravated Assault,0.0
4/2020,Nicollet Island - East Bank,Arson,0.0
4/2020,Nicollet Island - East Bank,Auto Theft,0.0
4/2020,Nicollet Island - East Bank,Burglary,3.0
4/2020,Nicollet Island - East Bank,Homicide,0.0
4/2020,Nicollet Island - East Bank,Larceny,9.0
4/2020,Nicollet Island - East Bank,Rape,0.0
4/2020,Nicollet Island - East Bank,Robbery,0.0
4/2020,North Loop,Aggravated Assault,3.0
4/2020,North Loop,Arson,0.0
4/2020,North Loop,Auto Theft,2.0
4/2020,North Loop,Burglary,16.0
4/2020,North Loop,Homicide,0.0
4/2020,North Loop,Larceny,33.0
4/2020,North Loop,Rape,2.0
4/2020,North Loop,Robbery,0.0
4/2020,Northeast Park,Aggravated Assault,0.0
4/2020,Northeast Park,Arson,0.0
4/2020,Northeast Park,Auto Theft,0.0
4/2020,Northeast Park,Burglary,1.0
4/2020,Northeast Park,Homicide,0.0
4/2020,Northeast Park,Larceny,8.0
4/2020,Northeast Park,Rape,0.0
4/2020,Northeast Park,Robbery,0.0
4/2020,Northrop,Aggravated Assault,0.0
4/2020,Northrop,Arson,0.0
4/2020,Northrop,Auto Theft,1.0
4/2020,Northrop,Burglary,4.0
4/2020,Northrop,Homicide,0.0
4/2020,Northrop,Larceny,15.0
4/2020,Northrop,Rape,0.0
4/2020,Northrop,Robbery,0.0
4/2020,Page,Aggravated Assault,0.0
4/2020,Page,Arson,0.0
4/2020,Page,Auto Theft,1.0
4/2020,Page,Burglary,0.0
4/2020,Page,Homicide,0.0
4/2020,Page,Larceny,3.0
4/2020,Page,Rape,0.0
4/2020,Page,Robbery,0.0
4/2020,Phillips West,Aggravated Assault,1.0
4/2020,Phillips West,Arson,0.0
4/2020,Phillips West,Auto Theft,5.0
4/2020,Phillips West,Burglary,5.0
4/2020,Phillips West,Homicide,0.0
4/2020,Phillips West,Larceny,5.0
4/2020,Phillips West,Rape,0.0
4/2020,Phillips West,Robbery,3.0
4/2020,Powderhorn Park,Aggravated Assault,1.0
4/2020,Powderhorn Park,Arson,0.0
4/2020,Powderhorn Park,Auto Theft,6.0
4/2020,Powderhorn Park,Burglary,7.0
4/2020,Powderhorn Park,Homicide,0.0
4/2020,Powderhorn Park,Larceny,11.0
4/2020,Powderhorn Park,Rape,0.0
4/2020,Powderhorn Park,Robbery,3.0
4/2020,Prospect Park - East River Road,Aggravated Assault,1.0
4/2020,Prospect Park - East River Road,Arson,0.0
4/2020,Prospect Park - East River Road,Auto Theft,4.0
4/2020,Prospect Park - East River Road,Burglary,2.0
4/2020,Prospect Park - East River Road,Homicide,0.0
4/2020,Prospect Park - East River Road,Larceny,24.0
4/2020,Prospect Park - East River Road,Rape,0.0
4/2020,Prospect Park - East River Road,Robbery,4.0
4/2020,Regina,Aggravated Assault,1.0
4/2020,Regina,Arson,0.0
4/2020,Regina,Auto Theft,2.0
4/2020,Regina,Burglary,2.0
4/2020,Regina,Homicide,0.0
4/2020,Regina,Larceny,2.0
4/2020,Regina,Rape,0.0
4/2020,Regina,Robbery,0.0
4/2020,Seward,Aggravated Assault,2.0
4/2020,Seward,Arson,0.0
4/2020,Seward,Auto Theft,15.0
4/2020,Seward,Burglary,14.0
4/2020,Seward,Homicide,0.0
4/2020,Seward,Larceny,24.0
4/2020,Seward,Rape,0.0
4/2020,Seward,Robbery,1.0
4/2020,Sheridan,Aggravated Assault,1.0
